1 Time,1 Position,2 Time,2 Position,3 Time,3 Position,4 Time,4 Position,5 Time,5 Position,6 Time,6 Position,7 Time,7: Position,8 Time,8 Position,9 Time,9 Position,10 Time,10 Position,11 Time,11 Position,12 Time,12 Position
0,0.0451000034809113,0,0.0291000008583069,0,0.0486000180244446,0,-0.0752999782562256,0,-0.04339998960495,0,-0.0703999996185303,0,0.0440999865531921,0,0.0325999855995178,0,0.0474999845027924,0,0.0297999978065491,0,0.0404999852180481,0,0.0485000014305115
0.05,0.042000025510788,0.05,0.0395000278949738,0.05,0.0406000018119812,0.05,-0.0658999979496002,0.05,-0.0221999883651733,0.05,-0.0561999976634979,0.05,0.0481999814510345,0.05,0.039900004863739,0.05,0.0474999845027924,0.05,0.0134999752044678,0.05,0.0463999807834625,0.05,0.0474999845027924
0.1,0.031900018453598,0.1,0.046500027179718,0.1,0.0236000120639801,0.1,-0.0481999814510345,0.1,0.00620001554489136,0.1,-0.0339999794960022,0.1,0.0488999783992767,0.1,0.0447999835014343,0.1,0.0451000034809113,0.1,-0.00390002131462097,0.1,0.0498999953269959,0.1,0.0397999882698059
0.15,0.0212000012397766,0.15,0.0458000004291534,0.15,0.0108000040054321,0.15,-0.0224999785423279,0.15,0.0295000076293945,0.15,-0.0072999894618988,0.15,0.0458000004291534,0.15,0.046099990606308,0.15,0.0388999879360199,0.15,-0.0205000042915344,0.15,0.0439999997615814,0.15,0.0276999771595001
0.2,0.00210002064704895,0.2,0.0395000278949738,0.2,-0.010699987411499,0.2,0.00380000472068787,0.2,0.0503000020980835,0.2,0.0191000103950501,0.2,0.0406000018119812,0.2,0.0451000034809113,0.2,0.0302000045776367,0.2,-0.0344000160694122,0.2,0.0336000025272369,0.2,0.0110999941825867
0.25,-0.0148999989032745,0.25,0.027400016784668,0.25,-0.0266999900341034,0.25,0.0316000282764435,0.25,0.0645000040531158,0.25,0.0437000095844269,0.25,0.0315999984741211,0.25,0.0401999950408936,0.25,0.0194000005722046,0.25,-0.0434000194072723,0.25,0.0179999768733978,0.25,-0.00590002536773682
0.3,-0.0297999978065491,0.3,0.0135000050067902,0.3,-0.0405999720096588,0.3,0.0520000159740448,0.3,0.067300021648407,0.3,0.0617000162601471,0.3,0.020799994468689,0.3,0.0329999923706055,0.3,0.00830000638961792,0.3,-0.0464999973773956,0.3,0.000999987125396729,0.3,-0.0247000157833099
0.35,-0.0412999987602234,0.35,-0.00449997186660767,0.35,-0.046099990606308,0.35,0.0659000277519226,0.35,0.0649000108242035,0.35,0.0676000118255615,0.35,0.00759997963905335,0.35,0.022599995136261,0.35,-0.00450000166893005,0.35,-0.0430999994277954,0.35,-0.0174000263214111,0.35,-0.037200003862381
0.4,-0.0453999936580658,0.4,-0.0217999815940857,0.4,-0.0495999753475189,0.4,0.0676000118255615,0.4,0.0524000227451324,0.4,0.0676000118255615,0.4,-0.00420001149177551,0.4,0.0117999911308289,0.4,-0.0170000195503235,0.4,-0.0358000099658966,0.4,-0.0340000092983246,0.4,-0.0464999973773956
0.45,-0.0458000004291534,0.45,-0.0349999964237213,0.45,-0.0458000004291534,0.45,0.0683000087738037,0.45,0.035400003194809,0.45,0.0624000132083893,0.45,-0.0166000127792358,0.45,-0.000699996948242188,0.45,-0.0291000008583069,0.45,-0.0236000120639801,0.45,-0.04380002617836,0.45,-0.0479000210762024
0.5,-0.0401999950408936,0.5,-0.0450999736785889,0.5,-0.0346999764442444,0.5,0.057200014591217,0.5,0.0104000270366669,0.5,0.0441000163555145,0.5,-0.0284000039100647,0.5,-0.0125000178813934,0.5,-0.0378000140190125,0.5,-0.00699999928474426,0.5,-0.0497000217437744,0.5,-0.0427000224590302
0.55,-0.0276999771595001,0.55,-0.0474999845027924,0.55,-0.0200999975204468,0.55,0.039900004863739,0.55,-0.0148999989032745,0.55,0.0212000012397766,0.55,-0.0371000170707703,0.55,-0.0243000090122223,0.55,-0.0453999936580658,0.55,0.00999999046325684,0.55,-0.0476000010967255,0.55,-0.0327000021934509
0.6,-0.0131999850273132,0.6,-0.0439999997615814,0.6,-0.00139999389648438,0.6,0.012800008058548,0.6,-0.0391999781131744,0.6,-0.00519999861717224,0.6,-0.0444000065326691,0.6,-0.0336000025272369,0.6,-0.0489000082015991,0.6,0.0273999869823456,0.6,-0.0403000116348267,0.6,-0.0218999981880188
0.65,0.00520002841949463,0.65,-0.0361000001430512,0.65,0.0166999995708466,0.65,-0.015999972820282,0.65,-0.0564999878406525,0.65,-0.0318999886512756,0.65,-0.0482000112533569,0.65,-0.0412999987602234,0.65,-0.0498999953269959,0.65,0.0384999811649323,0.65,-0.0275000035762787,0.65,-0.00180000066757202
0.7,0.0205000042915344,0.7,-0.0224999785423279,0.7,0.0333000123500824,0.7,-0.0408999919891357,0.7,-0.068699985742569,0.7,-0.0530999898910522,0.7,-0.0486000180244446,0.7,-0.0461000204086304,0.7,-0.0468000173568726,0.7,0.0443999767303467,0.7,-0.0098000168800354,0.7,0.0158999860286713
0.75,0.0347000062465668,0.75,-0.00689998269081116,0.75,0.0441000163555145,0.75,-0.0603999793529511,0.75,-0.0689999759197235,0.75,-0.0655999779701233,0.75,-0.0468000173568726,0.75,-0.0468000173568726,0.75,-0.0412999987602234,0.75,0.0449999868869782,0.75,0.00789999961853027,0.75,0.0311999917030334
0.8,0.0427000224590302,0.8,0.0104000270366669,0.8,0.0479000210762024,0.8,-0.0717999935150147,0.8,-0.0623999834060669,0.8,-0.0738999843597412,0.8,-0.039900004863739,0.8,-0.0461000204086304,0.8,-0.0329000055789948,0.8,0.0384999811649323,0.8,0.0255999863147736,0.8,0.0433000028133392
0.85,0.0461000204086304,0.85,0.0263999998569489,0.85,0.046500027179718,0.85,-0.0752999782562256,0.85,-0.0471999943256378,0.85,-0.0658999979496002,0.85,-0.0326000154018402,0.85,-0.0409000217914581,0.85,-0.0215000212192535,0.85,0.0279999971389771,0.85,0.0408999919891357,0.85,0.0474999845027924
0.9,0.0451000034809113,0.9,0.0378000140190125,0.9,0.0402000248432159,0.9,-0.0682999789714813,0.9,-0.0249999761581421,0.9,-0.0575999915599823,0.9,-0.0218000113964081,0.9,-0.0340000092983246,0.9,-0.0101000070571899,0.9,0.0124000012874603,0.9,0.0463999807834625,0.9,0.0488999783992767
0.95,0.0342999994754791,0.95,0.0448000133037567,0.95,0.0271000266075134,0.95,-0.0516999959945679,0.95,0.000700026750564575,0.95,-0.0349999964237213,0.95,-0.0101000070571899,0.95,-0.0236000120639801,0.95,0.00380000472068787,0.95,-0.00420001149177551,0.95,0.0495999753475189,0.95,0.0388000011444092
1,0.0205000042915344,1,0.0454000234603882,1,0.0101000070571899,1,-0.02879998087883,1,0.0250000059604645,1,-0.0120999813079834,1,0.00349998474121094,1,-0.0132000148296356,1,0.0148999989032745,1,-0.0209000110626221,1,0.0446999967098236,1,0.025299996137619
1.05,0.00520002841949463,1.05,0.0402000248432159,1.05,-0.00689998269081116,1.05,-0.00279998779296875,1.05,0.0472000241279602,1.05,0.0170000195503235,1.05,0.0160000026226044,1.05,-0.000300019979476929,1.05,0.0273999869823456,1.05,-0.0344000160694122,1.05,0.0318999886512756,1.05,0.00929999351501465
1.1,-0.0117999911308289,1.1,0.0295000076293945,1.1,-0.0231999754905701,1.1,0.0236000120639801,1.1,0.0621000230312347,1.1,0.0395000278949738,1.1,0.0273999869823456,1.1,0.0110999941825867,1.1,0.0361000001430512,1.1,-0.0434000194072723,1.1,0.0169000029563904,1.1,-0.00840002298355103
1.15,-0.027099996805191,1.15,0.01460000872612,1.15,-0.0377999842166901,1.15,0.0472000241279602,1.15,0.0701000094413757,1.15,0.0597000122070313,1.15,0.0370999872684479,1.15,0.0221999883651733,1.15,0.0429999828338623,1.15,-0.0462000072002411,1.15,-0.00180000066757202,1.15,-0.0250000059604645
1.2,-0.0394999980926514,1.2,-0.00279998779296875,1.2,-0.0464999973773956,1.2,0.0638000071048737,1.2,0.0680000185966492,1.2,0.0670000016689301,1.2,0.0429999828338623,1.2,0.0322999954223633,1.2,0.0471999943256378,1.2,-0.0427000224590302,1.2,-0.0191000103950501,1.2,-0.037200003862381
1.25,-0.0446999967098236,1.25,-0.0183999836444855,1.25,-0.0464999973773956,1.25,0.0670000016689301,1.25,0.0548000037670136,1.25,0.0670000016689301,1.25,0.0471999943256378,1.25,0.0388999879360199,1.25,0.0471999943256378,1.25,-0.0340000092983246,1.25,-0.0340000092983246,1.25,-0.0451000034809113
1.3,-0.0464999973773956,1.3,-0.0349999964237213,1.3,-0.0446999967098236,1.3,0.067300021648407,1.3,0.0392000079154968,1.3,0.065200001001358,1.3,0.04789999127388,1.3,0.0444000065326691,1.3,0.0444000065326691,1.3,-0.0209000110626221,1.3,-0.0434000194072723,1.3,-0.0472000241279602
